"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01039","3","62","74","0","2020","A","",3,12,312999,0,0,491,25551,"",4.74,0.15,0.10,0.00,0.00,0.65,0.66,"",0,0.0,-2,-14.3,-22862,-6.8,0,0.0,0,0.0,35,7.7,1843,7.8
"01039","5","62","74","0","2020","A","N",117,0,0,0,0,0,0,"N",0.76,0,0,0,0,0,0,"N",16,15.8,0,0,0,0,0,0,0,0,0,0,0,0
"01041","3","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",10.50,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01041","5","62","74","0","2020","A","N",33,0,0,0,0,0,0,"N",0.72,0,0,0,0,0,0,"N",10,43.5,0,0,0,0,0,0,0,0,0,0,0,0
"01043","3","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",1.55,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","62","74","0","2020","A","",217,3779,181216298,25379981,238348,922,47949,"",0.69,0.96,1.25,0.99,1.17,1.31,1.31,"",15,7.4,-174,-4.4,9681475,5.6,-692491,-2.7,-15,0.0,88,10.6,4560,10.5
"01045","1","62","74","0","2020","A","",5,427,26280162,0,0,1185,61606,"",48.40,8.50,6.73,0.00,0.00,0.79,0.79,"",0,0.0,-81,-15.9,-5203713,-16.5,0,0.0,0,0.0,-6,-0.5,-340,-0.5
"01045","3","62","74","0","2020","A","N",5,0,0,0,0,0,0,"N",8.16,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","62","74","0","2020","A","",98,879,31770482,8056739,64703,695,36147,"",0.66,0.37,0.27,0.70,0.67,0.73,0.73,"",27,38.0,-7,-0.8,1782410,5.9,48729,0.6,3682,6.0,44,6.8,2281,6.7
"01047","1","62","74","0","2020","A","",1,9,744478,0,0,1621,84281,"",10.04,0.27,0.38,0.00,0.00,1.46,1.46,"",0,0.0,-1,-10.0,-57097,-7.1,0,0.0,0,0.0,67,4.3,3450,4.3
"01047","2","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",3.62,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01047","3","62","74","0","2020","A","",10,172,4498400,0,0,504,26217,"",16.94,2.27,1.42,0.00,0.00,0.62,0.63,"",0,0.0,-5,-2.8,354224,8.5,0,0.0,0,0.0,54,12.0,2804,12.0
"01047","5","62","74","0","2020","A","",133,1618,72344095,14646549,138453,860,44710,"",0.93,1.02,1.24,1.57,1.24,1.22,1.22,"",26,24.3,-137,-7.8,-1728658,-2.3,-1147552,-7.3,-28890,-17.3,48,5.9,2507,5.9
"01049","3","62","74","0","2020","A","N",1,0,0,0,0,0,0,"N",1.17,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","62","74","0","2020","A","",154,2396,101128875,23551490,204857,812,42202,"",0.74,0.79,0.95,1.20,1.17,1.20,1.20,"",17,12.4,-139,-5.5,4775250,5.0,-667149,-2.8,-7772,-3.7,81,11.1,4196,11.0
"01051","3","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",2.01,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","62","74","0","2020","A","",128,2041,75697616,17477853,194399,713,37098,"",0.53,0.75,0.86,1.14,1.54,1.14,1.14,"",10,8.5,34,1.7,-1946764,-2.5,992651,6.0,1714,0.9,-31,-4.2,-1584,-4.1
"01053","5","62","74","0","2020","A","N",90,0,0,0,0,0,0,"N",0.65,0,0,0,0,0,0,"N",21,30.4,0,0,0,0,0,0,0,0,0,0,0,0
"01055","1","62","74","0","2020","A","",1,27,2228868,0,0,1607,83583,"",4.12,0.28,0.42,0.00,0.00,1.49,1.50,"",0,0.0,-1,-3.6,-238973,-9.7,0,0.0,0,0.0,-108,-6.3,-5616,-6.3
"01055","2","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",1.48,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","3","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",1.39,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","62","74","0","2020","A","N",366,0,0,0,0,0,0,"N",1.05,0,0,0,0,0,0,"N",38,11.6,0,0,0,0,0,0,0,0,0,0,0,0
"01057","3","62","74","0","2020","A","N",1,0,0,0,0,0,0,"N",4.20,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01057","5","62","74","0","2020","A","N",61,0,0,0,0,0,0,"N",1.06,0,0,0,0,0,0,"N",14,29.8,0,0,0,0,0,0,0,0,0,0,0,0
"01059","2","62","74","0","2020","A","N",1,0,0,0,0,0,0,"N",2.60,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01059","3","62","74","0","2020","A","",4,147,5934089,186570,1100,775,40277,"",9.75,2.06,2.16,1.98,2.87,1.05,1.05,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"01059","5","62","74","0","2020","A","",59,819,31252207,7833881,74900,734,38147,"",0.59,0.55,0.62,0.86,0.95,1.14,1.13,"N",7,13.5,0,0,0,0,0,0,0,0,0,0,0,0
"01061","3","62","74","0","2020","A","N",5,0,0,0,0,0,0,"N",14.10,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01061","5","62","74","0","2020","A","",52,268,10557710,2529265,25070,759,39456,"",0.61,0.37,0.49,0.59,0.69,1.31,1.31,"",15,40.5,3,1.1,14175,0.1,207561,8.9,6304,33.6,-7,-0.9,-368,-0.9
"01063","3","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",17.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01063","5","62","74","0","2020","A","N",33,0,0,0,0,0,0,"N",1.20,0,0,0,0,0,0,"N",20,153.8,0,0,0,0,0,0,0,0,0,0,0,0
"01065","3","62","74","0","2020","A","N",3,0,0,0,0,0,0,"N",15.15,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","5","62","74","0","2020","A","",38,231,8527055,2108670,24470,711,36980,"",0.79,0.65,0.68,1.20,1.59,1.04,1.04,"",20,111.1,-17,-6.9,994920,13.2,-49676,-2.3,-1647,-6.3,127,21.7,6629,21.8
"01067","3","62","74","0","2020","A","",4,11,346661,77731,457,611,31755,"",16.35,0.46,0.31,2.54,4.02,0.67,0.67,"",0,0.0,-4,-26.7,-99345,-22.3,-20939,-21.2,-124,-21.3,30,5.2,1517,5.0
"01067","5","62","74","0","2020","A","",45,378,12780210,3502616,30541,651,33832,"",0.76,0.76,0.62,1.18,1.31,0.82,0.82,"N",18,66.7,0,0,0,0,0,0,0,0,0,0,0,0
"01069","1","62","74","0","2020","A","",1,30,2579738,0,0,1645,85516,"",2.81,0.21,0.29,0.00,0.00,1.36,1.36,"",0,0.0,9,42.9,753485,41.3,0,0.0,0,0.0,-68,-4.0,-3570,-4.0
"01069","2","62","74","0","2020","A","N",3,0,0,0,0,0,0,"N",1.52,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","3","62","74","0","2020","A","N",15,0,0,0,0,0,0,"N",7.10,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","62","74","0","2020","A","",442,7284,425658397,69290618,570612,1124,58435,"",0.86,1.10,1.62,1.72,1.69,1.47,1.47,"",68,18.2,-184,-2.5,9354104,2.2,-781683,-1.1,73,0.0,52,4.9,2690,4.8
"01071","2","62","74","0","2020","A","N",1,0,0,0,0,0,0,"N",1.53,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","3","62","74","0","2020","A","",6,670,29284099,358005,2650,841,43735,"",8.58,6.85,7.55,2.80,3.37,1.10,1.10,"",0,0.0,-11,-1.6,1113403,4.0,-21310,-5.6,-158,-5.6,45,5.7,2368,5.7
"01071","5","62","74","0","2020","A","N",131,0,0,0,0,0,0,"N",0.77,0,0,0,0,0,0,"N",16,13.9,0,0,0,0,0,0,0,0,0,0,0,0
"01073","1","62","74","0","2020","A","",2,2543,214606544,0,0,1623,84394,"",0.89,2.54,2.60,0.00,0.00,1.02,1.02,"",0,0.0,64,2.6,17813477,9.1,0,0.0,0,0.0,97,6.4,5021,6.3
"01073","2","62","74","0","2020","A","N",8,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","3","62","74","0","2020","A","",8,617,38620740,0,0,1204,62611,"",0.60,0.27,0.29,0.00,0.00,1.05,1.05,"",0,0.0,-52,-7.8,-2149421,-5.3,0,0.0,0,0.0,33,2.8,1707,2.8
"01073","5","62","74","0","2020","A","",2357,49594,3077108734,358154746,3474140,1193,62047,"",0.73,1.05,1.24,1.24,1.37,1.19,1.19,"",300,14.6,-1627,-3.2,18170959,0.6,-4876049,-1.3,-151484,-4.2,45,3.9,2326,3.9
"01075","5","62","74","0","2020","A","",32,312,9178825,2735424,24443,566,29443,"",0.69,0.67,0.54,1.01,0.92,0.80,0.80,"",8,33.3,-72,-18.8,10584,0.1,-281524,-9.3,-4195,-14.6,106,23.0,5547,23.2
"01077","2","62","74","0","2020","A","N",1,0,0,0,0,0,0,"N",0.73,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01077","3","62","74","0","2020","A","",4,129,5147863,0,0,770,40035,"",2.72,0.68,0.70,0.00,0.00,1.04,1.03,"",0,0.0,-18,-12.2,-683,0.0,0,0.0,0,0.0,97,14.4,5031,14.4
"01077","5","62","74","0","2020","A","",289,4560,206457611,43736489,369213,871,45273,"",0.81,1.15,1.54,1.87,1.67,1.34,1.34,"",16,5.9,-2,0.0,4847051,2.4,951177,2.2,-17588,-4.5,21,2.5,1076,2.4
"01079","5","62","74","0","2020","A","N",58,0,0,0,0,0,0,"N",0.73,0,0,0,0,0,0,"N",10,20.8,0,0,0,0,0,0,0,0,0,0,0,0
"01081","2","62","74","0","2020","A","N",1,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","3","62","74","0","2020","A","",14,3092,167941973,532340,3142,1045,54316,"",6.00,8.05,10.07,1.16,1.62,1.25,1.25,"",-1,-6.7,-8,-0.3,8335324,5.2,19695,3.8,-652,-17.2,55,5.6,2829,5.5
"01081","5","62","74","0","2020","A","",337,3756,161975472,35401163,390022,829,43120,"",0.60,0.47,0.53,0.80,0.98,1.14,1.14,"",34,11.2,-190,-4.8,5660015,3.6,894602,2.6,-10003,-2.5,67,8.8,3509,8.9
"01083","3","62","74","0","2020","A","N",1,0,0,0,0,0,0,"N",0.96,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01083","5","62","74","0","2020","A","",163,1258,56050012,11783418,118053,857,44573,"",0.64,0.37,0.37,0.59,0.48,0.99,0.99,"",17,11.6,-43,-3.3,854951,1.5,180639,1.6,1953,1.7,41,5.0,2134,5.0
"01085","3","62","74","0","2020","A","N",1,0,0,0,0,0,0,"N",8.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01085","5","62","74","0","2020","A","N",18,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,"N",6,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01087","1","62","74","0","2020","A","",1,855,62029815,0,0,1395,72542,"",33.82,64.29,72.69,0.00,0.00,1.13,1.13,"",0,0.0,22,2.6,5309325,9.4,0,0.0,0,0.0,85,6.5,4430,6.5
"01087","3","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",11.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01087","5","62","74","0","2020","A","N",45,0,0,0,0,0,0,"N",1.06,0,0,0,0,0,0,"N",20,80.0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","1","62","74","0","2020","A","",4,460,32188725,0,0,1345,69950,"",3.36,0.77,0.58,0.00,0.00,0.76,0.76,"",0,0.0,-28,-5.7,522723,1.7,0,0.0,0,0.0,96,7.7,5016,7.7
"01089","2","62","74","0","2020","A","",3,65,3409867,0,0,1011,52594,"",0.45,0.07,0.05,0.00,0.00,0.76,0.76,"",0,0.0,3,4.8,179271,5.5,0,0.0,0,0.0,12,1.2,627,1.2
"01089","3","62","74","0","2020","A","N",9,0,0,0,0,0,0,"N",1.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","62","74","0","2020","A","",1263,17133,995619296,162195284,1527647,1118,58113,"",0.74,0.60,0.60,0.97,1.03,0.99,0.99,"",109,9.4,-496,-2.8,49613156,5.2,1841588,1.1,-59622,-3.8,86,8.3,4450,8.3
"01091","3","62","74","0","2020","A","",4,484,20010870,605273,4481,796,41380,"",11.37,10.44,9.84,10.42,19.52,0.94,0.94,"",0,0.0,-12,-2.4,3139332,18.6,-30224,-4.8,732,19.5,142,21.7,7393,21.8
"01091","5","62","74","0","2020","A","",65,631,19693354,5311224,53147,600,31214,"",0.76,0.65,0.53,0.95,1.13,0.81,0.81,"N",7,12.1,0,0,0,0,0,0,0,0,0,0,0,0
"01093","3","62","74","0","2020","A","N",1,0,0,0,0,0,0,"N",2.33,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01093","5","62","74","0","2020","A","N",102,0,0,0,0,0,0,"N",0.98,0,0,0,0,0,0,"N",19,22.9,0,0,0,0,0,0,0,0,0,0,0,0
"01095","3","62","74","0","2020","A","",7,1545,79546202,879268,6439,990,51497,"",4.79,6.19,8.05,2.50,5.07,1.30,1.30,"",0,0.0,-1,-0.1,6361019,8.7,20999,2.4,145,2.3,80,8.8,4164,8.8
"01095","5","62","74","0","2020","A","",204,2457,99904171,23138618,217128,782,40669,"",0.58,0.47,0.55,0.68,0.83,1.18,1.18,"",9,4.6,-83,-3.3,-1112266,-1.1,-416081,-1.8,-27609,-11.3,17,2.2,899,2.3
"01097","1","62","74","0","2020","A","",1,151,13818146,0,0,1756,91309,"",0.83,0.31,0.40,0.00,0.00,1.30,1.30,"",0,0.0,16,11.9,1664482,13.7,0,0.0,0,0.0,19,1.1,1003,1.1
"01097","2","62","74","0","2020","A","",6,1577,133512535,0,0,1628,84680,"",0.89,2.06,3.32,0.00,0.00,1.61,1.61,"",0,0.0,-3,-0.2,10829435,8.8,0,0.0,0,0.0,135,9.0,7028,9.1
"01097","3","62","74","0","2020","A","N",1,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","62","74","0","2020","A","",1237,23739,1289235656,161510136,1556706,1044,54308,"",0.71,1.03,1.25,1.13,1.01,1.22,1.22,"",226,22.4,-683,-2.8,85077894,7.1,-167927,-0.1,-42891,-2.7,96,10.1,5003,10.1
"01099","3","62","74","0","2020","A","N",2,0,0,0,0,0,0,"N",6.33,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01099","5","62","74","0","2020","A","N",51,0,0,0,0,0,0,"N",0.67,0,0,0,0,0,0,"N",13,34.2,0,0,0,0,0,0,0,0,0,0,0,0
"01101","1","62","74","0","2020","A","",4,893,72135382,0,0,1553,80779,"",5.33,2.42,2.81,0.00,0.00,1.16,1.16,"",0,0.0,9,1.0,6400459,9.7,0,0.0,0,0.0,123,8.6,6397,8.6
"01101","2","62","74","0","2020","A","",17,4225,257944231,0,0,1174,61052,"",4.08,7.28,8.58,0.00,0.00,1.18,1.18,"",1,6.2,26,0.6,24817705,10.6,0,0.0,0,0.0,106,9.9,5534,10.0
"01101","3","62","74","0","2020","A","",4,154,6519734,561,3,814,42313,"",0.90,0.19,0.16,0.00,0.00,0.84,0.84,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
